score,stage_guess,mode_guess,ask_type_guess,company_name,ticker,form_type,filed_at,keywords_hit,filing_url
0.66,dfs,capital_raise,project_debt,HYCROFT MINING HOLDING CORP,,8-K/A,2026-02-20,feasibility study; flow-through,https://www.sec.gov/Archives/edgar/data/1718405/000149315226007512/ex96-1.htm
0.66,dfs,capital_raise,project_debt,"Ramaco Resources, Inc.",,8-K/A,2026-07-24,credit facility; feasibility study,https://www.sec.gov/Archives/edgar/data/1687187/000121390026081413/ea029906601ex99-1.htm
0.66,distress_dip,distress_sale,equity,REALLOYS INC.,ALOY,8-K/A,2026-05-12,going concern; private placement,https://www.sec.gov/Archives/edgar/data/1567900/000118518526001781/realloysex99-1.htm
0.51,construction,capital_raise,royalty_streaming,"Coeur Mining, Inc.",CDE,8-K/A,2026-05-06,streaming agreement,https://www.sec.gov/Archives/edgar/data/215466/000021546626000012/cde-123125proformaxex993.htm
0.51,dfs,capital_raise,project_debt,"Contango ORE, Inc.",CTGO,8-K/A,2026-01-13,feasibility study,https://www.sec.gov/Archives/edgar/data/1502377/000119312526011906/d85099dex99.htm
0.51,distress_dip,distress_sale,equity,Z Squared Inc.,ZSQR,8-K/A,2026-06-01,going concern; private placement,https://www.sec.gov/Archives/edgar/data/1759186/000168316826004425/zsquared_ex9901.htm
0.49,exploration,capital_raise,equity,"Coeur Mining, Inc.",CDE,8-K/A,2026-02-20,flow-through,https://www.sec.gov/Archives/edgar/data/215466/000021546626000007/a4q25earningsreleaseex-991a.htm
0.49,pea,capital_raise,equity,U.S. GoldMining Inc.,,8-K/A,2026-03-23,preliminary economic assessment,https://www.sec.gov/Archives/edgar/data/1947244/000149315226012015/ex23-1.htm
0.32,unknown,capital_raise,equity,"Soluna Holdings, Inc",,8-K/A,2026-06-17,private placement,https://www.sec.gov/Archives/edgar/data/64463/000149315226028986/ex99-2.htm
0.3,producing,refi,senior_debt,ASP Isotopes Inc.,ASPI,8-K/A,2026-03-24,credit facility,https://www.sec.gov/Archives/edgar/data/1921865/000147793226001559/aspi_ex991.htm
0.23,unknown,capital_raise,unknown,HECLA MINING CO/DE/,,8-K/A,2026-03-30,,https://www.sec.gov/Archives/edgar/data/719413/000143774926010330/ex_938948.htm
0.23,unknown,capital_raise,unknown,Contango Silver & Gold Inc.,CTGO,8-K/A,2026-04-08,,https://www.sec.gov/Archives/edgar/data/1502377/000119312526147930/d40847dex101.htm
